phone title,price,old price
"Realme C11, 6.5""Display,13MP, 2GB+32GB, Dual SIM 5000mAh - Mint Green","KSh 11,500","KSh 16,500"
"Realme C11,Display 6.5"", 32GB + 2GB RAM (Dual SIM, 5000mAh,13MP, Android 10- Green","KSh 10,899","KSh 21,000"
"Realme C11, 6.5'', 2GB + 32GB (Dual SIM) - 5000mAh+FREE 5D SCREEN PROTECTOR- Grey","KSh 10,999","KSh 20,000"
"Realme C3, 6.5'', 3GB + 64GB (Dual SIM) - 5000mah - Blue + Air Neo + Gift Bag","KSh 16,999","KSh 18,998"
"Realme 6, 6.5"", 8GB + 128GB, 64MP, 4G Dual Sim, 4300MAh - Comet Blue + Free Gifts","KSh 28,999","KSh 30,000"
"Realme C11, 6.5"", 32GB + 2GB RAM (Dual SIM), 5000mAh - Grey + Otg","KSh 10,499","KSh 12,000"
"Realme C11,Green,screen 6.5'', 5000mAh,Dual Sim, 4G,2Gb RAM+32 Gb ROM.","KSh 10,285","KSh 13,999"
"Realme C11,6.5"",4G,32GB+2GB RAM,(Dual Sim) ,5000mAh,Octacore-Green+FREE SELFIESTICK+OTG","KSh 10,799","KSh 17,500"
"Realme C15, 6.5"", 4 GB + 64 GB (Dual SIM) - Silver","KSh 16,499",
"Realme C15, 6.5"", 4GB+64GB, 13MP, 4G, 6000MAh - Marine Blue + Free Gifts","KSh 16,699","KSh 17,000"
"Realme 6.5""Display, 4GB RAM + 128GBROM, -(Dual SIM), 6000mAh- Silver","KSh 19,899","KSh 37,900"
"Realme C11, 6.5'' ; [2GB +32GB],, 4G ,,13MP,, 5000mAh-  Grey +FREE Selfie Stick,ring","KSh 10,950","KSh 11,999"
"Realme C3, 6.5'', 3GB + 64GB (Dual SIM) - 5000mah - Blue","KSh 13,699","KSh 15,999"
"Realme C11, 32+2GB, 6.5"", DUAL SIM ,5000MAH,ANDROID_ Grey+free Otg &ring","KSh 10,355","KSh 16,000"
"Realme C15, 6.5"", 4GB RAM + 64GB ROM (Dual SIM) -  Silver","KSh 22,998","KSh 22,999"
"Realme C15, 6.5"", 4 GB + 128 GB (Dual SIM), Android 10 __Silver","KSh 19,699","KSh 22,999"
"Realme C11 6.5'' 32GB ROM + 2GB RAM ,5000mAh Dual SIM, 13MP- Green","KSh 11,690","KSh 13,000"
"Realme 6, 6.5""Display, (Dual SIM), 128GB ROM+ 8GB RAM ,4300mAh -  White","KSh 29,990","KSh 45,000"
"Realme C15, 6.5"",4GB+64GB, 13MP, 4G,6000MAh -Silver","KSh 16,340","KSh 18,999"
"Realme C15, 6.5"", 4 GB + 64GB (Dual SIM) - Silver","KSh 16,699","KSh 20,000"
